Hitachi,BOI,201368163,ZKJ8039,"Victory Tower, Infront Of Basanti Durga Puja Mandap,At- Nuasahi Chhak,Po- Balia, Ps- Sahadev Khunta, Dist-Balasore-756056, Odisha",Balasore,Orissa,East,Glass Break Sensor 002,172.55.27.210,UNV,,
Hitachi,BOI,201369211,ZBB8049,"Eb-89, Badagada Britcolony, Bhubaneswar, Odisha-751018",Bhubaneswar,Orissa,East,Glass Break Sensor 002 / ATM 1 Vibration (006),172.55.27.155,UNV,,
Hitachi,BOI,-,ZBB8050,"8&9 Industrial Estate, Barunei, Khordha,752057.",Khordha,Orissa,East,Glass Break Sensor 002,172.55.27.93,UNV,,
Hitachi,BOI,201368954,ZKJ8035,"Bhalukipatala, Jagannathpur, Keonjhar,758001",Kendujhar,Orissa,East,Glass Break Sensor 002,172.55.27.251,UNV,,
Hitachi,BOI,201364561,ZDD9020,"Bank Of India,Najibabad Road, Kotdwara, Uttaranchal-246149",Kotdwara,Uttarakhand,East,ATM 1 Vibration 006 / Main Door shutter Normally NO type 004,172.55.24.183,UNV,,
Hitachi,PNB,-,N4663300,GOLDEN PLACE CHAS,Bokaro,Jharkhand,East,ATM 1 Vibration  012,172.55.28.225,Dahuva,,
Hitachi,BOI,201369128,ZMU8033,"Mahtwat Toli, Beside Icici Bank Atm & Branch, Ward No: 35, Kachahari Road, Bettiah, West Champaran, Bihar.",Bettiah,Bihar,East,Chest Door Open ATM3 017 / Smoke / Fire   011,172.55.24.239,UNV,,
Hitachi,PNB,-,N1727500,"PNB JAMHOUR  VILL-JAMHOUR,DISTT.AURANGABAD",Aurangabad,Bihar,East,Glass Break Sensor 011,172.55.28.4,Hikvision_Nvr,,
Euronet,HDFC,-,P3ENRG06,"CEO, CANTONMENT BOARD, RAMGARH JHARKHAND  829122.",Ramngarh,Jharkhand,East,Glass Break Sensor 002,172.55.26.60,Hikvision,,
Hitachi,PNB,-,A1177310,"Punjab National bank, Plot No. HIG-217 Kalinga Vihar, PS- Khandagiri, Sjiput, Distt Khurda",Bhubaneswar,Orissa,East,ATM 1 Thermal 004,172.55.24.188,UNV,,
Hitachi,BOI,201368164,ZKL8053,"18/3/25, Kumad Ghoshal Road, Dakshineswar, P.O-Ariadha , P.S-Belghoria, Dist-North 24Th Pgs-700057 Wb",Parganas,West Bengal,East,Tamper + Hooter senser 014,172.55.27.151,UNV,,
Hitachi,PNB,-,D1201020,"VILL.:BOROSUJAPUR, PS: KALIACHAK; MALDA",Durgapur,West Bengal,East,Glass Break Sensor 011 / vibration 012,172.55.21.93,UNV,,
Hitachi,PNB,-,B1036520,"BELURMATH, HOWRAH",Howrah,West Bengal,East,Glass Break Sensor 011 / Vibration 012,172.55.29.131,Hikvision_Nvr,,
Hitachi,PNB,-,A3200110,"Near Bihta Police Station, Vikash Nagar, P. O. Bihta, Pin-801103",Patna,Bihar,East,ATM1 Vibration  003 / Glass Break Sensor (012),172.55.21.105,UNV,,
Hitachi,PNB,-,B1130320,"VILL & PO.PAKUAHAT, MALDA",Malda,West Bengal,East,Glass Break Sensor 011,172.55.30.93,UNV,,
Hitachi,PNB,-,N8605900,"Anisabad, Dist. Patna - 800002",Patna,Bihar,East,Glass Break Sensor 012,172.55.24.177,UNV,,
Hitachi,PNB,-,N3190200,"BO: GOP, PURI, ORISSA",Baleshwar,Orissa,East,Glass Break Sensor 011,172.55.28.69,Hikvision_Nvr,,
Hitachi,PNB,-,D1087720,PNB ST COLUMBUS COLLEGE COLLEGE MORE HAZARIBAGH 825301,Ranchi,Jharkhand,East,Smoke / Fire   011,172.55.30.128,UNV,,
Hitachi,PNB,-,B1608200,"PNB NABINAGAR, AURANGABAD",Patna,Bihar,East,Glass Break Sensor 012,172.55.21.184,UNV,,
Euronet,HDFC,H05577,P3ENOD48,"AT-Kuakhia, PO-Rasulpur, PS-Kuakhia, DIST-Jajpur, PIN-755051, Odisha",Jajapur,Orissa,East,ATM1 Removal  005,172.55.25.71,CPPLUS_INDIGO,,
Euronet,HDFC,-,P3ENDB03,"Phusbanglow, Lodna More, PO- Bhaga, Jharia Main Rd, Dist-Dhanbad, Jharkhand. 828301.",Dhanbad,Jharkhand,East,ATM 1 Vibration Sensor  011,10.126.36.73,CPPLUS,,
Hitachi,PNB,-,B1120610,"PLOT NO-2982, RAVI TAL , KIES RD, PS - LINGARAJ , KHURDA ORISSA",Bhubaneswar,Orissa,East,Glass Break Sensor  012,172.55.21.112,UNV,,
Hitachi,PNB,-,B2010720,"61,S.N.BANERJEE ROAD, KOLKATA",Kolkata,West Bengal,East,Fire Detector  037,172.55.28.28,Hikvision_Nvr,,
Hitachi,PNB,-,B1023620,"GANGARAMPUR,DAKSHIN DINAJPUR",DINAJPUR,West Bengal,East,Glass Break Sensor  011 /ATM 1 Vibration 012,172.55.30.61,UNV,,
Hitachi,PNB,-,A1068810,"STATION ROAD,RATHBARI , MALDA",Malda,West Bengal,East,Glass Break Sensor  011 /ATM1 Removal 003,172.55.30.66,UNV,,
Hitachi,PNB,-,N6391200,"NAIHATI JUTE MILL, HAZINAGAR, 24 PGS NORTH -",Parganas,West Bengal,East,ATM 1 Vibration 012,172.55.28.161,Hikvision_Nvr,,
Diebold,HDFC,-,P1DCGY04,New Godam Offsite,Gaya,Bihar,East,unuthorize card 002 / vibration 011 ,172.54.10.155,Hikvision,,
Hitachi,BOI,201368604,ZHW8047,"Vill-Jaganpur,Po-Andul,Ps-Sankril,Dist-Howrah,Wb",Kolkata,West Bengal,East,Glass Break Sensor  002 /ATM 1 Thermal/ Heat 013 ,172.55.24.186,UNV,,
Hitachi,PNB,-,N4045220,"GODI POKHARI, INFRONT OF BANDHAN BANK, KHORDHA,",Bhubaneswar,Orissa,East,Glass Break Sensor  012,172.55.21.220,UNV,,
Hitachi,PNB,-,B1029320,"KALIACHAK,PO & DIST.MALDA",Durgapur,West Bengal,East,ATM 1 Vibration 012 / 020 / 021 / 221 ,172.55.30.103,UNV,,
Euronet,HDFC,H05567,P3ENOD56,"AT/PO/PS-Banharpal, DIST-Angul,PIN-754206",Anugul,Orissa,East,ATM1/2 Hood Door 025,10.109.11.28,CPPLUS_INDIGO,,
Hitachi,PNB,-,B1061420,"B-6,SAHEEDNAGAR,BHUBANESWAR, KHURDA",Bhubaneswar,Orissa,East,ATM 1 Vibration 003 / Glass Break Sensor  012,172.55.24.247,UNV,,
Hitachi,PNB,-,B1217000,"BHERIYA, DIST- ROHTAS  PIN-821305",ROHTAS ,Bihar,East,Glass Break Sensor  012,172.55.19.25,UNV,,
Hitachi,BOI,-,ZKJ8028,"At-Bhanjapur, Baripada, Dist-Mayurbhanj, Odisha",Baripada,Orissa,East,Glass Break Sensor  002,172.55.27.220,UNV,,
Hitachi,PNB,-,DC022800,PNB JEHANABAD BIHAR- 804408,Patna,Bihar,East,ATM 1 Vibration 003,172.55.24.211,UNV,,
Hitachi,PNB,-,N2742200,"PIRPAINTI, DISTT: BHAGALPUR. PIN 813209",Bhagalpur,Bihar,East,ATM 1 Vibration 003,172.55.30.14,Dahuva,,
Hitachi,indusind,-,MC002948,"IndusInd Bank,RAJA S C MALLICK ROAD ,ANANDA PALLY,D 81 RAM KRISHNA UPANIBESH ROAD, PO+P.S- JADAVPUR, Dist-24 pgs (S), Pin-700092",Kolkata,West Bengal,East,ATM Panel Tamper 034,10.109.10.176,CPPLUS_INDIGO,,
Euronet,HDFC,H06261,P3ENOD74,"AT/PO/PS-Chandapur, DIST-Nayagarh, PIN-752024, Odisha",Nayagarh,Orissa,East,ATM 1/2 Hood Door Sensor 025,10.109.11.1,CPPLUS_INDIGO,,
Hitachi,BOI,-,ZBD8041,"BADAMTALA KALNA ROAD, P.O.+P.S.+DIST.- BURDWAN",Burdwan,West Bengal,East,ATM 1 Vibration 006,172.55.24.25,UNV,,
Hitachi,PNB,-,A1086710,"AMBICA MARKET , NUTANGANJ. , BANKURA , BANKURA , WEST BENGAL 722101",Kolkata,West Bengal,East,Glass Break Sensor  006,172.55.20.51,UNV,,
Hitachi,PNB,-,N3232100,"KAKO MAIN BAZAR, NEAR SBI BRANCH, JEHANABAD, BIHAR- 804418",Jehanabad,Bihar,East,Zone 16 TO 19,172.55.28.18,Hikvision_Nvr,,
Hitachi,PNB,-,N9605900,"TRIPTI GUEST HOUSE,NEAR BUS STAND PATNA,BIHAR",Patna,Bihar,East,Glass Break Sensor  006,172.55.23.248,UNV,,
Hitachi,PNB,-,DB149900,"KANKARBAGH TEMPO STAND, KANKARBAGH COLONY, PATNA, BIHAR PIN- 800020",Patna,Bihar,East,Glass Break Sensor  006,172.55.20.35,UNV,,
Hitachi,BOI,201368158,ZKJ8025,"At/Po-Harichandanpur,Dist-Keonjhar,Pin-758028.",Harichandanpur,Orissa,East,Glass Break Sensor  002,172.55.27.55,UNV,,
Hitachi,PNB,-,D2142120,POKANTADI BANKURA WBIN,Purulia,West Bengal,East,Glass Break Sensor  006,172.55.20.98,UNV,,
Hitachi,PNB,-,A1182410,"M R Complex, 1St Floor, Near Tamtam Parao, Phulwarisharif, Patna- 801505",Patna,Bihar,East,Glass Break Sensor  006,172.55.20.50,UNV,,
Hitachi,PNB,-,N4010700,"DALTONGANJ,JAIL HATA CHOWK, DALTONGANJ,822101",Ranchi,Jharkhand,East,Glass Break Sensor  011,172.55.23.6,Dahuva,,
Euronet,HDFC,H03113,P3ECAG02,"PHLWASI MARKET,PO-BARUN, DIST-AURAGABAD,BIHAR-824112",Bihar,Bihar,East,Glass Break Sensor  010,172.55.26.93,CPPLUS,,
Hitachi,PNB,-,N5242600,"PNB, SECTOR 1, BOKARO STEEL CITY",Bokaro,Jharkhand,East,Glass Break Sensor  006,172.55.22.147,Dahuva,,
Diebold,HDFC,-,P1DCPT09,Naya Tola Phulwari-Khagaul Road - Anisabad 801505,Patna,Bihar,East,ATM Lobby PIR 001 / 003,10.109.10.174,Hikvision,,
Hitachi,BOI,-,ZBD8043,Asish Dey Near-Pirakata Bus Stand Pirakata Post Office Vill. & PO Pirakata P S Salboni Dist Paschim Midnapore State West Bangal Pin 721516.,Kolkata,West Bengal,East,ATM 1 Vibration 006,172.55.24.210,UNV,,
Hitachi,BOI,201368567,ZBD8040,"Prem Shankar Prasad, S/O- Late Jaynarayan Prasad, Najrul Saroni, Kalla Central Hospital, P.S- Asansol North, Pin- 713340,",Asansol,West Bengal,East,ATM 1 Vibration 006,172.55.24.135,UNV,,
Hitachi,PNB,-,NA149900,"DBGB HO BUILDING, SRI VISHNU COMMERCIAL COMPLEX, NEAR NATIONAL HIGHWAY PETROL PUMP, BYEPASS, OSHOCHAK, PATNA- 800016",Patna,Bihar,East,Glass Break Sensor  006,172.55.19.191,UNV,,
Hitachi,PNB,-,N4442700,"46/2/4 EAST GHOSHPARA ROAD, PO AUTHPUR",Parganas,West Bengal,East,Glass Break Sensor 011,172.55.29.146,Dahuva,,
Diebold,HDFC,-,P1DCPT12,"Ajitkumar,Wardno-48 Circleno-36, Mahendru Mussalahpur 800006",Patna,Bihar,East,Glass Break Sensor 002,10.109.10.42,Hikvision,,
Hitachi,PNB,-,D1096420,PO KASTORA DIST PURULIABANKURA WBIN,Durgapur,West Bengal,East,ATM Vibration Sensor 007 / Backroom Door Open 004,172.55.20.55,UNV,,
